,title,title_label,description,description_label
0,박장범 사장 후보 디올 파우치 는 공식 상품명 팩트다 ,0,박장범 사장 후보자는 일 김건희 여사 명품 가방 수수 관련 과거 보도에서 파우치 라는 표현을 사용한 데 대해 파우치 는 사실이고 팩트 라고 밝혔다 박 후보자는 이날 국회 과학기술정보방송통신위원회 과방위 ,1
1,방통위 올해 월까지 소송비로 억 원 썼다,0,배우자 김건희 씨 혐의 이재명 전 민주당 대표 피습사건 대담 윤석열 대통령 민생토론회 벤틀리 발언 후쿠시마 오염수 물고기 사진 방통심의위 구성 양승태 전 대법원장 무죄 판결 미세먼지 등의 ,1
2,박장범 사장 후보 파우치는 상품명 사전 찾아보면 작은 가방 ,0,박장범 한국방송공사 사장 후보자가 김건희 여사의 명품백 수수 의혹과 관련해 해당 가방을 파우치 라고 대담에서 김건희 여사 명품백 수수 의혹과 관련해 이른바 파우치 외국 회사 조그마한 백 이라는 표현을 써 ,1
3, 민주당 장외집회 시간 생중계 정당 홍보 채널인가 ,0,국민의힘은 일 공식 유튜브가 지난 일 광화문 일대에서 열린 더불어민주당의 김건희 특검법 촉구 차 앞서 공식 유튜브는 지난 일 광화문 일대에서 열린 민주당의 김건희 특검법 촉구 차 국민행동의 날 ,1
4, 정치 이재명 심 여야 수싸움,1,당 단합을 강조하면서 김건희 특검법 통과를 위한 원내외 공세 수위도 올려 대응할 예정이다 반면 그의 발언은 차적으로 김건희 특검법 을 겨냥한 것이다 이 대표는 이날 자신의 심 선고에 대해 직접적으로 ,1
5,박장범 사장 후보자 조그마한 파우치 여야 공방전,1,여야는 박 후보자가 과거 김건희 여사의 명품 가방 수수 의혹과 관련해 조그마한 파우치 라고 표현한 것을 두고 공방전을 벌였다 정동영 민주당 의원은 이날 박 후보자의 인사청문회에서 디올 백을 조그마한 파우치라고 ,1
6,명태균 윤한홍 경남지사 출마 막았다 주장 민주당 추가 녹취 공개,0,명태균 김건희 여사 통해 대통령 후보 캠프 인선 관여 주장 윤한홍 경남지사 출마도 막았다고 주장 첫 번째 녹취에서 김건희 여사를 통해 윤 의원의 대통령 후보 비서실장 인선을 막았다고 주장한다 명 씨는 사모님 ,1
7,창원지검 공천 개입 여론조사 조작의혹 명태균 이첩사건 조사,0, 일 사세행 대표 검찰 출석 번째 소환 강혜경 허위 진술한 적 없어 김건희 여사 공천 개입 의혹 과 미래한국연구소의 불법 여론조사 의혹 등을 수사 중인 창원지검이 이 사건의 핵심 인물인 명태균 씨 등을 고발한 ,1
8,최민희 비명계 내가 죽인다 에 국힘 무도한 극언 ,0,최 의원은 지난 일 서울 광화문에서 열린 김건희 윤석열 국정농단 규탄 특검 촉구 제 차 국민행동의 날 및 시민사회 연대 집회 에 참석했다 이 자리에서 오마이 와 인터뷰에 나선 그는 다시 숨죽여 있던 민주당 내의 ,1
9,박장범 사장 후보 디올 파우치 표현은 팩트 명품이라는 말 방 ,1,박장범 사장 후보자가 김건희 여사의 명품 가방 수수 논란과 관련해 해당 가방을 파우치 라고 지칭한 것은 파우치는 사실이고 팩트다 상품명이다 고 말했다 박 후보자는 일 국회 과학기술정보방송통신위원회 ,1
10, 바로이뉴스 박장범 사장 후보 디올 파우치는 팩트이자 상품명 ,0,박 후보자는 청문회에서 지난 월 윤석열 대통령과의 녹화 대담 당시 김건희 여사가 받은 디올 명품백 을 파우치 조그마한 백 이라고 부른 일화에 대해 집중적으로 질문을 받았습니다 박 후보자는 특정 상품의 경우 ,1
11,검찰 명태균 의혹 여론조사 기관 압수수색,1,명 씨 관련 의혹의 주요 제보자인 강혜경 씨는 명 씨가 대 대선을 앞두고 윤 대통령을 위해 차례에 걸쳐 억 만원 상당의 여론조사를 하고 김건희 여사와 친분을 통해 김영선 전 국민의힘 의원의 보궐선거 공천을 ,1
12,박장범 사장 후보 조그마한 파우치 라고 하지 않고 파우치 라고 ,0,김지은 하지현 한재혁 기자 박장범 사장 후보자는 일 국회 인사청문회에서 김건희 여사의 명품 가방 수수 논란과 관련해 해당 가방을 파우치 라고 지칭한 것을 두고 공식 명칭을 사용한 것 이라고 했다 박 ,1
13,박장범 사장 후보자 청문회 야당 파우치 표현 사과해야 여당 ,1,여야는 오늘 일 박장범 사장 후보자에 대한 국회 과학기술정보방송통신위원회의 인사청문회에서 박 후보자가 김건희 여사 고가 가방 의혹과 관련해 파우치 라고 표현한 것을 두고 공방을 벌였습니다 ,1
14,명태균 추가 녹취록서 윤한홍 비서실장 경남지사 내가 막아 ,1, 김건희 여사 공천 개입 의혹과 미래한국연구소의 불법 여론조사 의혹 등 사건의 핵심 인물인 명태균 씨가 사진 연합뉴스 매일일보 정두현 기자 | 여당 공천개입 의혹으로 구속영장이 청구된 명태균씨가 김건희 여사를 ,1
15,민주 최민희 비명계 움직이면 죽는다 당원과 함께 죽일 것 ,0,앞서 최 의원은 이달 일 서울 도심에서 열린 김건희 윤석열 국정농단 규탄 특검촉구 제 차 국민행동의 날 집회에 참석 현장에서 오마이 와 인터뷰를 통해 이같이 말했다 그는 향후 재판을 어떻게 전망하느냐 는 ,1
16,박장범 사장 후보 파우치 는 팩트 국어사전 찾아봐라 ,1,박장범 사장 후보자가 국회 인사청문회에서 과거 김건희 여사의 명품 가방 수수 논란과 관련해 파우치 라고 지칭한 것은 객관적이고 중립적인 용어를 사용한 것 이라고 밝혔다 박 후보자는 일 국회 ,1
17,장성철 이준석 부르면 년 지방선거 가지 부적절한 일 밝힐 태세 ,0,당시 국민의힘 경상북도위원장이었던 김정재 의원이 김건희 여사의 뜻이라며 현 포항시장인 이강덕 예비후보를 컷오프 하려고 하자 이 의원은 이를 확인하기 위해 김 여사와 만났다고 했다 또 이 의원은 검찰 수사관 ,1
18,여 판사 악마화 맹공 야 이재명 방어 총력전,0,반면 민주당 이재명 대표는 오전 최고위에서 자신의 선고와 관련한 언급은 자제하는 대신 김건희 여사 박 후보자는 김건희 여사의 명품 가방 수수 논란과 관련해 파우치 라고 지칭한 일은 공식 명칭을 사용한 것일 ,1
19, 비명계 움직이면 죽이겠다 민주당 이재명 심 징역형 엄호 발언 잇따 ,0,이재명 더불어민주당 대표가 일 서울 종로구 광화문 앞에서 열린 김건희 윤석열 국정농단 규탄 특검 촉구 민주당 최민희 의원은 지난 일 서울 광화문에서 열린 김건희 윤석열 국정농단 규탄 특검촉구 제 차 ,1
20, 뉴스 김민석 통합 주민투표 의회투표 알아서 공감대 ,0, 김건희 특별법 이 세번째로 국회 본회의를 통과했습니다 명태균 게이트 까지 더해 대통령 배우자인 김건희 여사가 정국의 핵심으로 떠오르고 있는데요 야당은 발걸음이 빨라지고 있고 여당은 방어막을 손보고 있습니다 ,1
21,박찬대 이재명 심 판결 에 명백한 사법살인 ,0,이번 엉터리 판결 이후 김건희 윤석열 대통령도 처벌받아야 한다는 여론이 확산하고 있다 많은 국민께서는 그런데 김건희 는 그런데 윤석열은 이라고 묻고 있다 고 언급했다 이어 제 야당의 대표와 ,1
22,이재명 죽지 않아 발언에 당대표 자격 전과 범으로 ,1,이재명 더불어민주당 대표가 일 광화문 북측광장에서 김건희 윤석열 국정농단 규탄 및 특검 촉구 차 집회에서 결코 죽지 않는다 라고 말했다 여당에선 당 대표 자격 요건을 전과 범 이상으로 올려야 될 듯 싶다 ,1
23,경호처 골프 취재기자 휴대폰 뺏고 신고 경찰 사실 확인 중 ,1,이날은 윤 대통령이 부인 김건희 여사 논란 등에 대해 대국민 사과를 한 시점으로부터 이틀 뒤였다 해당 취재 과정에서 대통령 경호처는 기자의 휴대전화를 빼앗았다 경찰 신고도 이뤄졌는데 경호처는 경찰에 경호법을 ,1
24,민주당 최민희 내가 죽일 것 에 당 차원 입장 아냐 ,0,앞서 최 의원은 지난 일 광화문에서 열린 김건희 윤석열 국정농단 규탄 특검 촉구 집회에서 일부 언론이 민주당에 숨죽이던 비명계가 움직이기 시작했다 고 보도했는데 움직이면 죽는다 제가 당원과 함께 죽일 것 ,1
25,박장범 청문회 파우치 표현 사과해야 상품 정식 명칭 ,0,여야는 일 박장범 사장 후보자에 대한 국회 과학기술정보방송통신위원회의 인사청문회에서 박 후보자가 김건희 여사가 받은 명품 가방을 파우치 라고 표현한 것을 두고 공방을 벌였다 더불어민주당은 박 ,1
26,첫 선고부터 징역형 이재명 이게 제일 약할 것이다 김경율의 노빠 ,1,이를 포함해 김건희 특검법 전망과 윤석열 대통령의 지지율 전망까지 가감 없이 파헤쳐드립니다 오늘 오후 시 유튜브에서 시사저널 또는 김경율의 노빠꾸 정치 를 검색해 함께해주세요 ,1
27,한동훈 나랏돈 잘 써야 이재명 특검 통과돼야 ,1,더불어민주당은 김건희 여사 특검 수용을 거듭 촉구했습니다 보도에 이유민 기자입니다 리포트 더불어민주당은 김건희 여사 특검법 수용을 거듭 촉구했습니다 이재명 대표는 최고위원회의에서 검찰이 제대로 하지 ,1
28,청문회에 등장한 김 여사 디올백 박장범 디올 파우치 팩트이고 상 ,1,박장범 사장 후보자가 과거 김건희 여사의 명품 가방 수수 논란과 관련 파우치 라고 표현한 것은 객관적이고 중립적인 용어를 사용한 것 이라고 해명했다 박 후보자는 일 국회 과학기술정보방송통신위원회 과방위 ,1
29, 비명계 죽일 것 김용태 최민희 발언 이재명 확정판결 대비 ,0,앞서 최 의원은 지난 일 오후 광화문 일대에서 진행된 김건희 윤석열 국정농단 규탄 특검 촉구 제 차 국민행동의 날 집회 현장에서 유튜버들과 만나 어떤 판결이 나오느냐가 중요한 게 아니라 핵심은 민주당이 ,1
30, 삐라에 미사일 등장 오늘은 오물벼락 내일은 불바다 ,0,윤석열 대통령과 김건희 여사 비판 내용이 주를 이뤘던 지난번과 달리 무력도 과시하며 경고에 나선 것이다 미사일 발사 장면이 실린 전단 앞면에는 윤 대통령 사진과 함께 핵보유국의 문전에서 군사력의 압도적 ,1
31,박장범 공영방송 명품 사용 않는다 쇼 진품명품은 ,0,박장범 사장 후보자가 윤석여 대통령 부인 김건희 여사의 명품 가방 수수 의혹을 두고 파우치 라고 단순화한 데 대해 공식 상품명을 사용한 것이라며 해명했다 특히 명품 이라는 단어가 공영방송에서 잘 쓰이지 ,1
32, 윤석열 김건희 얼굴에 주먹질 퍼포먼스 전북서 대통령 퇴진 운동 시 ,0,이들은 퇴진 의미를 담아 윤 대통령과 김건희 여사 사진에게 주먹을 날리는 퍼포먼스를 보였다 윤석열퇴진 전북운동본부는 오는 일 전주 모래내시장 앞에서 도심 행진을 하며 차 윤석열 퇴진 전북도민 대회를 개최할 ,1
33, 단독 특검법 재의결 때 결집할라 민주당 검사 탄핵 연기 검토할 ,0,오는 일 국회 본회의 때 김건희 여사특검법 특검법 재의결과 함께 검사 탄핵소추안 처리를 추진하려고 했던 더불어민주당이 검사 탄핵과 관련해선 추가 논의가 필요하다는 쪽으로 기류가 바뀐 것으로 일 파악됐다 ,1
34, 파우치 방송 이란 조롱까지 박장범 문제 그게 다가 아니다,0,박장범 앵커가 김건희 여사의 명품백 수수를 가리켜 이른바 파우치 외국 회사의 조그만 백 이라 발언했을 때 이미 명예는 크게 훼손되었다 그런 박장범 기자가 사장이 된다면 그는 파우치 사장 으로 는 ,1
