,title,description,title_label,description_label
0,박장범 사장 후보 디올 파우치 는 공식 상품명 팩트다 ,박장범 사장 후보자는 일 김건희 여사 명품 가방 수수 관련 과거 보도에서 파우치 라는 표현을 사용한 데 대해 파우치 는 사실이고 팩트 라고 밝혔다 박 후보자는 이날 국회 과학기술정보방송통신위원회 과방위 ,0,1
1,방통위 올해 월까지 소송비로 억 원 썼다,배우자 김건희 씨 혐의 이재명 전 민주당 대표 피습사건 대담 윤석열 대통령 민생토론회 벤틀리 발언 후쿠시마 오염수 물고기 사진 방통심의위 구성 양승태 전 대법원장 무죄 판결 미세먼지 등의 ,0,1
2,박장범 사장 후보 파우치는 상품명 사전 찾아보면 작은 가방 ,박장범 한국방송공사 사장 후보자가 김건희 여사의 명품백 수수 의혹과 관련해 해당 가방을 파우치 라고 대담에서 김건희 여사 명품백 수수 의혹과 관련해 이른바 파우치 외국 회사 조그마한 백 이라는 표현을 써 ,0,1
3, 민주당 장외집회 시간 생중계 정당 홍보 채널인가 ,국민의힘은 일 공식 유튜브가 지난 일 광화문 일대에서 열린 더불어민주당의 김건희 특검법 촉구 차 앞서 공식 유튜브는 지난 일 광화문 일대에서 열린 민주당의 김건희 특검법 촉구 차 국민행동의 날 ,0,1
4, 정치 이재명 심 여야 수싸움,당 단합을 강조하면서 김건희 특검법 통과를 위한 원내외 공세 수위도 올려 대응할 예정이다 반면 그의 발언은 차적으로 김건희 특검법 을 겨냥한 것이다 이 대표는 이날 자신의 심 선고에 대해 직접적으로 ,1,1
5,민주당 일 장외집회 시민사회와 협의 중 ,오는 일과 일에 열릴 장외집회도 표면적으로는 김건희 특검법 관철을 위한 집회지만 속내를 살펴보면 한편 민주당은 원내에서 김건희 특검법 관철을 위한 차 비상 행동에 돌입할 방침이다 황 대변인은 ,1,0
6,박장범 사장 후보자 김건희 여사 파우치 논란에 공식 명칭 사용 ,박장범 한국방송공사 사장 후보자가 대통령 배우자 김건희 여사의 명품 가방 수수 논란과 관련해 해당 가방을 파우치 라고 지칭한 것은 제품의 공식 명칭을 사용했을 뿐이라고 해명했다 일 국회 ,0,0
7,박장범 사장 후보자 조그마한 파우치 여야 공방전,여야는 박 후보자가 과거 김건희 여사의 명품 가방 수수 의혹과 관련해 조그마한 파우치 라고 표현한 것을 두고 공방전을 벌였다 정동영 민주당 의원은 이날 박 후보자의 인사청문회에서 디올 백을 조그마한 파우치라고 ,1,1
8,명태균 윤한홍 경남지사 출마 막았다 주장 민주당 추가 녹취 공개,명태균 김건희 여사 통해 대통령 후보 캠프 인선 관여 주장 윤한홍 경남지사 출마도 막았다고 주장 첫 번째 녹취에서 김건희 여사를 통해 윤 의원의 대통령 후보 비서실장 인선을 막았다고 주장한다 명 씨는 사모님 ,0,1
9, 당원 게시판 논란 미묘한 신경전,대표가 비방글 작성자를 고발한 데 따른 것이다 당내에서는 다시 계파 싸움으로 번지는 분위기 의정 갈등 해소 김건희 여사 문제 해결 등에 이어 해당 논란이 갈등의 새 뇌관이 될 수도 있다는 우려가 제기된다 ,1,0
10,창원지검 공천 개입 여론조사 조작의혹 명태균 이첩사건 조사, 일 사세행 대표 검찰 출석 번째 소환 강혜경 허위 진술한 적 없어 김건희 여사 공천 개입 의혹 과 미래한국연구소의 불법 여론조사 의혹 등을 수사 중인 창원지검이 이 사건의 핵심 인물인 명태균 씨 등을 고발한 ,0,1
11,최민희 비명계 내가 죽인다 에 국힘 무도한 극언 ,최 의원은 지난 일 서울 광화문에서 열린 김건희 윤석열 국정농단 규탄 특검 촉구 제 차 국민행동의 날 및 시민사회 연대 집회 에 참석했다 이 자리에서 오마이 와 인터뷰에 나선 그는 다시 숨죽여 있던 민주당 내의 ,0,1
12, 디올 파우치 발언 해명한 박장범 사장 후보 씨알도 안 먹히는 말 ,박장범 사장 후보 김건희 여사 뉴스 일 오전 열린 국회 과학기술정보방송통신위원회 과방위 올 월 에서 방영한 윤 대통령과의 단독 대담 방송에서 박 후보자는 김건희 여사의 디올 백을 파우치 로 발언 ,0,0
13,박장범 사장 후보 디올 파우치 표현은 팩트 명품이라는 말 방 ,박장범 사장 후보자가 김건희 여사의 명품 가방 수수 논란과 관련해 해당 가방을 파우치 라고 지칭한 것은 파우치는 사실이고 팩트다 상품명이다 고 말했다 박 후보자는 일 국회 과학기술정보방송통신위원회 ,1,1
14,최민희 비명계 움직이면 내가 당원과 함께 죽일 것 ,최 의원은 지난 일 서울 광화문에서 열린 김건희 윤석열 국정농단 규탄 특검 촉구 제 차 국민 행동의 날 인식 이라며 김건희 정권 이 무너지는 조짐이 보인다고 해서 쉽게 물러날 것이냐 그렇지 않다고 생각한다 고 ,0,0
15, 바로이뉴스 박장범 사장 후보 디올 파우치는 팩트이자 상품명 ,박 후보자는 청문회에서 지난 월 윤석열 대통령과의 녹화 대담 당시 김건희 여사가 받은 디올 명품백 을 파우치 조그마한 백 이라고 부른 일화에 대해 집중적으로 질문을 받았습니다 박 후보자는 특정 상품의 경우 ,0,1
16,검찰 명태균 의혹 여론조사 기관 압수수색,명 씨 관련 의혹의 주요 제보자인 강혜경 씨는 명 씨가 대 대선을 앞두고 윤 대통령을 위해 차례에 걸쳐 억 만원 상당의 여론조사를 하고 김건희 여사와 친분을 통해 김영선 전 국민의힘 의원의 보궐선거 공천을 ,1,1
17,박장범 사장 후보 조그마한 파우치 라고 하지 않고 파우치 라고 ,김지은 하지현 한재혁 기자 박장범 사장 후보자는 일 국회 인사청문회에서 김건희 여사의 명품 가방 수수 논란과 관련해 해당 가방을 파우치 라고 지칭한 것을 두고 공식 명칭을 사용한 것 이라고 했다 박 ,0,1
18,박장범 사장 후보자 청문회 야당 파우치 표현 사과해야 여당 ,여야는 오늘 일 박장범 사장 후보자에 대한 국회 과학기술정보방송통신위원회의 인사청문회에서 박 후보자가 김건희 여사 고가 가방 의혹과 관련해 파우치 라고 표현한 것을 두고 공방을 벌였습니다 ,1,1
19,명태균 추가 녹취록서 윤한홍 비서실장 경남지사 내가 막아 , 김건희 여사 공천 개입 의혹과 미래한국연구소의 불법 여론조사 의혹 등 사건의 핵심 인물인 명태균 씨가 사진 연합뉴스 매일일보 정두현 기자 | 여당 공천개입 의혹으로 구속영장이 청구된 명태균씨가 김건희 여사를 ,1,1
